hierarchy,name,description
printing > mail folding & inserting machines,mail folding & inserting machines,
printing > offset press,offset press,
printing > pad printing,pad printing,
printing > paper drilling,paper drilling,
printing > perfect binders,perfect binders,
printing > plate punch and benders,plate punch and benders,
printing > polywrapping and inserting,polywrapping and inserting,
printing > post-press,post-press,
printing > pre-press,pre-press,
printing > rotary printing,rotary printing,
printing > rotogravure printing,rotogravure printing,
printing > saddle stitchers,saddle stitchers,
printing > screen printing,screen printing,
printing > sheet-fed press,sheet-fed press,
printing > stackers,stackers,
printing > three-knife trimmers,three-knife trimmers,
printing > uv-сoating,uv-сoating,
printing > web-fed press,web-fed press,
processing,processing,
"processing > agitators, blenders, mixers","agitators, blenders, mixers",
processing > air conditioning,air conditioning,
processing > ball mills,ball mills,
processing > blister packaging,blister packaging,
processing > blow molding,blow molding,
processing > blowers,blowers,
processing > bridge saws,bridge saws,
processing > briquetting,briquetting,
processing > cnc stone routers,cnc stone routers,
processing > cartoning machines,cartoning machines,
processing > case & tray formers and erectors,case & tray formers and erectors,
processing > centrifugal separators,centrifugal separators,
processing > coating & laminating,coating & laminating,
processing > complete plants,complete plants,
processing > condensers,condensers,
processing > conveyors,conveyors,
processing > cooling towers,cooling towers,
processing > dehumidifiers,dehumidifiers,
processing > diamond wire saws,diamond wire saws,
processing > dryers,dryers,
processing > dust collectors,dust collectors,
processing > edge polishers,edge polishers,
processing > evaporators,evaporators,
processing > extruders,extruders,
processing > fans & ventilation,fans & ventilation,
processing > film blowing machines,film blowing machines,
processing > filter presses,filter presses,
processing > foundry & casting,foundry & casting,
processing > glass equipment,glass equipment,
processing > granulators & pelletizers,granulators & pelletizers,
processing > hammermills,hammermills,
processing > heat exchangers,heat exchangers,
processing > heaters,heaters,
processing > homogenizers,homogenizers,
processing > ibc tanks,ibc tanks,
processing > ice machines,ice machines,
processing > industrial chillers,industrial chillers,
processing > industrial compressors,industrial compressors,
processing > industrial furnaces & ovens,industrial furnaces & ovens,
processing > industrial vacuum cleaners,industrial vacuum cleaners,
processing > injection molding,injection molding,
processing > labelers,labelers,
processing > packaging machinery,packaging machinery,
processing > paint booths,paint booths,
processing > palletizers,palletizers,
processing > paper cup machines,paper cup machines,
processing > paper/plastic bag machines,paper/plastic bag machines,
processing > papermaking,papermaking,
processing > plastic processing,plastic processing,
processing > pugmill mixing plants,pugmill mixing plants,
processing > reactors,reactors,
processing > refrigeration compressors,refrigeration compressors,
processing > sandblasting & shotblasting,sandblasting & shotblasting,
processing > shrink wrapping machines,shrink wrapping machines,
processing > stone cnc machining centers,stone cnc machining centers,
processing > stone equipment,stone equipment,
processing > strapping machines,strapping machines,
processing > tanks & kettles,tanks & kettles,
processing > thermoforming,thermoforming,
processing > toilet paper & napkin machines,toilet paper & napkin machines,
processing > ultrasonic cleaners,ultrasonic cleaners,
processing > vertical form fill sealing machines (vffs),vertical form fill sealing machines (vffs),
processing > vibratory separators,vibratory separators,
processing > water treatment,water treatment,
semiconductors,semiconductors,
semiconductors > ashers & etchers,ashers & etchers,
semiconductors > bonders,bonders,
semiconductors > cvd/pvd,cvd/pvd,
semiconductors > die bonders,die bonders,
semiconductors > laser marking,laser marking,
semiconductors > mask aligners,mask aligners,
semiconductors > pcb assembly,pcb assembly,
semiconductors > photoresist,photoresist,
semiconductors > reflow ovens,reflow ovens,
semiconductors > screen printers,screen printers,
semiconductors > semiconductor inspection & test,semiconductor inspection & test,
semiconductors > semiconductor lithography,semiconductor lithography,
semiconductors > semiconductor metrology,semiconductor metrology,
semiconductors > semiconductor processing,semiconductor processing,
semiconductors > soldering,soldering,
semiconductors > wafer coating,wafer coating,
semiconductors > wafer dicing,wafer dicing,
semiconductors > wafer grinding,wafer grinding,
semiconductors > wafer handlers,wafer handlers,
semiconductors > wafer steppers,wafer steppers,
semiconductors > wire bonders,wire bonders,
"test, lab, medical equipment","test, lab, medical equipment",
"test, lab, medical equipment > aesthetic medicine",aesthetic medicine,
"test, lab, medical equipment > air purifiers",air purifiers,
"test, lab, medical equipment > air showers/pass boxes",air showers/pass boxes,
"test, lab, medical equipment > amplifiers",amplifiers,
"test, lab, medical equipment > anesthesia machines",anesthesia machines,
"test, lab, medical equipment > antenna, cable & pim analyzers","antenna, cable & pim analyzers",
"test, lab, medical equipment > audio analyzers",audio analyzers,
"test, lab, medical equipment > autoclaves & sterilizers",autoclaves & sterilizers,
"test, lab, medical equipment > bioreactors",bioreactors,
"test, lab, medical equipment > biosafety cabinets",biosafety cabinets,
"test, lab, medical equipment > biotechnology & life science",biotechnology & life science,
"test, lab, medical equipment > cable testers",cable testers,
"test, lab, medical equipment > chromatography",chromatography,
"test, lab, medical equipment > communication analyzers",communication analyzers,
"test, lab, medical equipment > comparators",comparators,
"test, lab, medical equipment > coordinate measuring machines (cmm)",coordinate measuring machines (cmm),
"test, lab, medical equipment > cryostats",cryostats,
"test, lab, medical equipment > dna sequencers",dna sequencers,
"test, lab, medical equipment > defibrillators",defibrillators,
"test, lab, medical equipment > dental equipment",dental equipment,
"test, lab, medical equipment > dry baths",dry baths,
"test, lab, medical equipment > ekg machines",ekg machines,
"test, lab, medical equipment > electrical safety testers",electrical safety testers,
"test, lab, medical equipment > electrical test instruments",electrical test instruments,
"test, lab, medical equipment > environmental chambers",environmental chambers,
"test, lab, medical equipment > flow, electric & gas meters","flow, electric & gas meters",
"test, lab, medical equipment > frequency counters",frequency counters,
"test, lab, medical equipment > fusion splicers",fusion splicers,
"test, lab, medical equipment > gas analyzers",gas analyzers,
"test, lab, medical equipment > general analytical equipment",general analytical equipment,
"test, lab, medical equipment > general laboratory equipment",general laboratory equipment,
"test, lab, medical equipment > general medical equipment",general medical equipment,
"test, lab, medical equipment > gloveboxes",gloveboxes,
"test, lab, medical equipment > hospital beds",hospital beds,
"test, lab, medical equipment > immersion circulators",immersion circulators,
"test, lab, medical equipment > incubators",incubators,
"test, lab, medical equipment > lab evaporators",lab evaporators,
"test, lab, medical equipment > lab freezers & refrigerators",lab freezers & refrigerators,
"test, lab, medical equipment > laboratory centrifuges",laboratory centrifuges,
"test, lab, medical equipment > laboratory chillers",laboratory chillers,
"test, lab, medical equipment > laboratory fume hoods",laboratory fume hoods,
"test, lab, medical equipment > laboratory glassware washers",laboratory glassware washers,
"test, lab, medical equipment > laboratory ovens",laboratory ovens,
"test, lab, medical equipment > laboratory pumps",laboratory pumps,
"test, lab, medical equipment > laminar flow cabinets",laminar flow cabinets,
"test, lab, medical equipment > lasers & light sources",lasers & light sources,
"test, lab, medical equipment > logic analyzers",logic analyzers,
"test, lab, medical equipment > materials testing",materials testing,
"test, lab, medical equipment > medical imaging",medical imaging,
"test, lab, medical equipment > medical ultrasound",medical ultrasound,
"test, lab, medical equipment > microplate dispensers",microplate dispensers,
"test, lab, medical equipment > microplate readers",microplate readers,
"test, lab, medical equipment > microplate washers",microplate washers,
"test, lab, medical equipment > microscopes",microscopes,
"test, lab, medical equipment > microtomes",microtomes,
"test, lab, medical equipment > mills, grinders, crushers (laboratory)","mills, grinders, crushers (laboratory)",
"test, lab, medical equipment > mixers, shakers, stirrers (laboratory)","mixers, shakers, stirrers (laboratory)",
"test, lab, medical equipment > multimeters",multimeters,
"test, lab, medical equipment > network analyzers",network analyzers,
"test, lab, medical equipment > ohmmeters",ohmmeters,
"test, lab, medical equipment > optical spectrum analyzers",optical spectrum analyzers,
"test, lab, medical equipment > oscilloscopes",oscilloscopes,
"test, lab, medical equipment > patient monitors",patient monitors,
"test, lab, medical equipment > pharmaceutical industry",pharmaceutical industry,
