hierarchy,name,description
forestry equipment > stump grinders > towable stump grinders,towable stump grinders,
forestry equipment > wood chippers,wood chippers,
forestry equipment > wood chippers > self-propelled wood chippers,self-propelled wood chippers,
forestry equipment > wood chippers > towable wood chippers,towable wood chippers,
forestry equipment > log splitters,log splitters,
forestry equipment > sawmills,sawmills,
forestry equipment > sawmills > portable sawmills sawmills,portable sawmills sawmills,
forestry equipment > sawmills > stationary sawmills sawmills,stationary sawmills sawmills,
forestry equipment > sawmills > resaws sawmills,resaws sawmills,
forestry equipment > sawmills > board edgers sawmills,board edgers sawmills,
forestry equipment > sawmills > carriages sawmills,carriages sawmills,
forestry equipment > sawmills > other sawmills,other sawmills,
forestry equipment > slasher saws,slasher saws,
forestry equipment > tree trimmers,tree trimmers,
forestry equipment > other forestry equipment,other forestry equipment,
heaters,heaters,
heaters > towable heaters,towable heaters,
heaters > portable heaters,portable heaters,
lifts,lifts,
lifts > forklifts,forklifts,
lifts > forklifts > pneumatic tire forklifts,pneumatic tire forklifts,
lifts > forklifts > cushion tire forklifts,cushion tire forklifts,
lifts > forklifts > rough terrain forklifts,rough terrain forklifts,
lifts > forklifts > stand up / reach forklifts,stand up / reach forklifts,
lifts > forklifts > order picker forklifts,order picker forklifts,
lifts > forklifts > truck mounted forklifts,truck mounted forklifts,
lifts > forklifts > swing reach forklifts,swing reach forklifts,
lifts > forklifts > walkie stacker forklifts,walkie stacker forklifts,
lifts > forklifts > pallet jack forklifts,pallet jack forklifts,
lifts > forklifts > side loader / bi-directional forklifts,side loader / bi-directional forklifts,
lifts > forklifts > straddle carrier forklifts,straddle carrier forklifts,
lifts > forklifts > die handler forklifts,die handler forklifts,
lifts > forklifts > other forklifts,other forklifts,
lifts > telehandlers,telehandlers,
lifts > container handlers,container handlers,
lifts > container handlers > mast container handlers,mast container handlers,
lifts > container handlers > reach stacker container handlers,reach stacker container handlers,
lifts > scissor lifts,scissor lifts,
lifts > scissor lifts > slab scissor lifts,slab scissor lifts,
lifts > scissor lifts > rough terrain scissor lifts,rough terrain scissor lifts,
lifts > boom lifts,boom lifts,
lifts > boom lifts > telescopic boom lifts,telescopic boom lifts,
lifts > boom lifts > articulating boom lifts,articulating boom lifts,
lifts > boom lifts > towable boom lifts,towable boom lifts,
lifts > personnel lifts,personnel lifts,
lifts > bucket lifts,bucket lifts,
lifts > tow tractors,tow tractors,
lifts > other lifts,other lifts,
light towers,light towers,
loader backhoes,loader backhoes,
miscellaneous equipment,miscellaneous equipment,
motor graders,motor graders,
off-highway trucks,off-highway trucks,
oilfield equipment,oilfield equipment,
oilfield equipment > drill rigs oilfield equipment,drill rigs oilfield equipment,
oilfield equipment > drilling equipment oilfield equipment,drilling equipment oilfield equipment,
oilfield equipment > well service / workover rigs oilfield equipment,well service / workover rigs oilfield equipment,
oilfield equipment > downhole oilfield equipment,downhole oilfield equipment,
oilfield equipment > production equipment oilfield equipment,production equipment oilfield equipment,
oilfield equipment > support equipment oilfield equipment,support equipment oilfield equipment,
oilfield equipment > tubular goods / drill string / rods oilfield equipment,tubular goods / drill string / rods oilfield equipment,
oilfield equipment > electrical / hydraulic / pneumatic oilfield equipment,electrical / hydraulic / pneumatic oilfield equipment,
oilfield equipment > valves / flanges oilfield equipment,valves / flanges oilfield equipment,
pipelayers,pipelayers,
power systems,power systems,
power systems > generators,generators,
power systems > generators > towable generators,towable generators,
power systems > generators > stationary generators,stationary generators,
power systems > generators > power plant generators,power plant generators,
power systems > generators > marine generators,marine generators,
power systems > generators > pto generators,pto generators,
power systems > generators > home standby generators,home standby generators,
power systems > generators > portable generators,portable generators,
power systems > generators > compact recreational generators,compact recreational generators,
power systems > other power systems,other power systems,
pumps,pumps,
scrap processing / demolition equipment,scrap processing / demolition equipment,
scrapers,scrapers,
scrapers > motor scrapers,motor scrapers,
scrapers > pull scrapers,pull scrapers,
semi-trailers,semi-trailers,
semi-trailers > drop deck trailers,drop deck trailers,
semi-trailers > dump trailers,dump trailers,
semi-trailers > dump trailers > bottom dump trailers,bottom dump trailers,
semi-trailers > dump trailers > end dump trailers,end dump trailers,
semi-trailers > dump trailers > side dump trailers,side dump trailers,
semi-trailers > flatbed trailers,flatbed trailers,
semi-trailers > lowboy trailers,lowboy trailers,
semi-trailers > tag trailers,tag trailers,
semi-trailers > tank trailers,tank trailers,
semi-trailers > tank trailers > asphalt / hot oil tank trailers,asphalt / hot oil tank trailers,
semi-trailers > tank trailers > chemical / acid tank trailers,chemical / acid tank trailers,
semi-trailers > tank trailers > crude oil tank trailers,crude oil tank trailers,
semi-trailers > tank trailers > frac tank trailers,frac tank trailers,
semi-trailers > tank trailers > gasoline / fuel tank trailers,gasoline / fuel tank trailers,
semi-trailers > tank trailers > industrial gas tank trailers,industrial gas tank trailers,
semi-trailers > tank trailers > liquid food grade tank trailers,liquid food grade tank trailers,
semi-trailers > tank trailers > non code tank trailers,non code tank trailers,
semi-trailers > tank trailers > pneumatic / dry bulk tank trailers,pneumatic / dry bulk tank trailers,
semi-trailers > tank trailers > sanitary tank trailers,sanitary tank trailers,
semi-trailers > tank trailers > vacuum tank trailers,vacuum tank trailers,
