hierarchy,name,description
skid steers > mini skid steers,mini skid steers,
trenchers / cable plows,trenchers / cable plows,
trenchers / cable plows > ride on trenchers / cable plows,ride on trenchers / cable plows,
trenchers / cable plows > walk behind / stand on trenchers / cable plows,walk behind / stand on trenchers / cable plows,
trenchers / cable plows > trench boxes trenchers / cable plows,trench boxes trenchers / cable plows,
trenchers / cable plows > other trenchers / cable plows,other trenchers / cable plows,
wheel loaders,wheel loaders,
trucks,trucks,
trucks > cab & chassis trucks,cab & chassis trucks,
trucks > day cab trucks,day cab trucks,
trucks > farm trucks / grain trucks,farm trucks / grain trucks,
trucks > fire trucks,fire trucks,
trucks > flatbed trucks,flatbed trucks,
trucks > pickup trucks,pickup trucks,
trucks > pickup trucks > 1 ton pickup trucks,1 ton pickup trucks,
trucks > pickup trucks > 1/2 ton pickup trucks,1/2 ton pickup trucks,
trucks > pickup trucks > 3/4 ton pickup trucks,3/4 ton pickup trucks,
trucks > pickup trucks > other pickup trucks,other pickup trucks,
trucks > service trucks / utility trucks / mechanic trucks,service trucks / utility trucks / mechanic trucks,
trucks > sleeper trucks,sleeper trucks,
semi-trailers,semi-trailers,
semi-trailers > agriculture equipment transport trailers,agriculture equipment transport trailers,
semi-trailers > hopper / grain trailers,hopper / grain trailers,
semi-trailers > live floor trailers,live floor trailers,
semi-trailers > livestock trailers,livestock trailers,
semi-trailers > lowboy trailers,lowboy trailers,
semi-trailers > open top trailers,open top trailers,
semi-trailers > tank trailers,tank trailers,
semi-trailers > tank trailers > non code tank trailers,non code tank trailers,
trailers,trailers,
trailers > flatbed / tag trailers,flatbed / tag trailers,
trailers > horse trailers,horse trailers,
trailers > livestock trailers,livestock trailers,
trailers > tank trailers,tank trailers,
trailers > tank trailers > gasoline / fuel tank trailers,gasoline / fuel tank trailers,
