hierarchy,name,description
"metalworking equipment > metalworking, miscellaneous > metalworking equipment, miscellaneous","metalworking equipment, miscellaneous",
metalworking equipment > milling,milling,
"metalworking equipment > milling > mills, miscellaneous","mills, miscellaneous",
metalworking equipment > milling > turret mills,turret mills,
metalworking equipment > presses,presses,
metalworking equipment > presses > general workshop presses,general workshop presses,
metalworking equipment > surface treatment,surface treatment,
"metalworking equipment > surface treatment > blasting - shot, sand, etc.","blasting - shot, sand, etc.",
metalworking equipment > surface treatment > cleaning & degreasing,cleaning & degreasing,
metalworking equipment > surface treatment > painting,painting,
metalworking equipment > tooling,tooling,
metalworking equipment > tooling > drill tooling,drill tooling,
metalworking equipment > tooling > tool holders,tool holders,
"metalworking equipment > tooling > tooling, miscellaneous","tooling, miscellaneous",
metalworking equipment > turning,turning,
"metalworking equipment > turning > lathes, cnc & turning centers","lathes, cnc & turning centers",
"metalworking equipment > turning > lathes, conventional","lathes, conventional",
metalworking equipment > welding,welding,
metalworking equipment > welding > fume extractors,fume extractors,
metalworking equipment > welding > mig welders,mig welders,
metalworking equipment > welding > spot welders,spot welders,
metalworking equipment > welding > stick welders,stick welders,
metalworking equipment > welding > sub arc welders,sub arc welders,
metalworking equipment > welding > welding supplies,welding supplies,
"metalworking equipment > welding > welding, miscellaneous","welding, miscellaneous ",
public and personal safety,public and personal safety,
public and personal safety > public safety and control,public safety and control,
public and personal safety > public safety and control > fire and police equipment,fire and police equipment,
public and personal safety > public safety and control > traffic signals and controls,traffic signals and controls,
public and personal safety > security surveillance and detection,security surveillance and detection,
public and personal safety > security surveillance and detection > alarm and fire protection systems,alarm and fire protection systems,
public and personal safety > security surveillance and detection > firearm accessories,firearm accessories,
public and personal safety > security surveillance and detection > firearms and live ammunition,firearms and live ammunition,
public and personal safety > security surveillance and detection > security equipment,security equipment,
"real estate, buildings, structures","real estate, buildings, structures",
"real estate, buildings, structures > permanent buildings",permanent buildings,
"real estate, buildings, structures > portable buildings and structures",portable buildings and structures ,
"real estate, buildings, structures > portable buildings and structures > grandstands and bleachers",grandstands and bleachers,
"real estate, buildings, structures > real estate / land parcels",real estate / land parcels,
"real estate, buildings, structures > real estate / land parcels > buildings",buildings,
"real estate, buildings, structures > real estate / land parcels > commercial property",commercial property,
"real estate, buildings, structures > real estate / land parcels > other real estate",other real estate,
"real estate, buildings, structures > real estate / land parcels > single family property - residential",single family property - residential,
"real estate, buildings, structures > real estate / land parcels > vacant land - agricultural",vacant land - agricultural,
"real estate, buildings, structures > real estate / land parcels > vacant land - residential",vacant land - residential,
"real estate, buildings, structures > real estate tax deed and lien sales",real estate tax deed and lien sales,
"real estate, buildings, structures > real estate tax deed and lien sales > real estate tax liquidations",real estate tax liquidations,
recovery,recovery,
recovery > confiscated/forfeited/personal property,confiscated/forfeited/personal property,
recovery > confiscated/forfeited/personal property > currency and financial products,currency and financial products,
recovery > lost/abandoned property,lost/abandoned property,
recovery > recovered items,recovered items,
scrap,scrap,
"scrap > metal, scrap","metal, scrap",
scrap > other recyclables,other recyclables,
scrap > other recyclables > barrels and drums,barrels and drums,
scrap > other recyclables > paper and paper products,paper and paper products,
scrap > other recyclables > recyclable materials,recyclable materials,
scrap > other scrap,other scrap,
transportation,transportation,
transportation > aviation,aviation,
transportation > aviation > aircraft,aircraft,
transportation > aviation > aircraft engines,aircraft engines,
transportation > aviation > aviation ground support equipment,aviation ground support equipment,
transportation > marine,marine,
"transportation > marine > boats, marine vessels and supplies","boats, marine vessels and supplies",
transportation > passenger vehicles,passenger vehicles,
transportation > passenger vehicles > automobiles/cars,automobiles/cars,
"transportation > passenger vehicles > buses, transit and school","buses, transit and school",
transportation > passenger vehicles > classic/custom cars,classic/custom cars,
transportation > passenger vehicles > electric/hybrid vehicle,electric/hybrid vehicle,
transportation > passenger vehicles > motor homes / travel trailers,motor homes / travel trailers,
transportation > passenger vehicles > motorcycles,motorcycles,
transportation > passenger vehicles > restricted vehicles,restricted vehicles,
transportation > passenger vehicles > suv,suv,
transportation > passenger vehicles > vans,vans,
"transportation > passenger vehicles > vehicles, miscellaneous","vehicles, miscellaneous",
transportation > railroad,railroad,
transportation > railroad > rail equipment and accessories,rail equipment and accessories,
transportation > specialized vehicles,specialized vehicles,
transportation > specialized vehicles > all terrain vehicles,all terrain vehicles,
transportation > specialized vehicles > ambulance/rescue,ambulance/rescue,
transportation > specialized vehicles > fire trucks,fire trucks,
transportation > specialized vehicles > food service vehicles,food service vehicles,
transportation > specialized vehicles > sweeper - parking lot/warehouse,sweeper - parking lot/warehouse,
transportation > specialized vehicles > sweeper - street,sweeper - street,
transportation > trailers,trailers,
transportation > trailers > agricultural trailers,agricultural trailers,
transportation > trailers > car carrier trailers,car carrier trailers,
transportation > trailers > chip trailers,chip trailers,
transportation > trailers > dump trailers,dump trailers,
transportation > trailers > equipment trailers,equipment trailers,
transportation > trailers > flatbed trailers,flatbed trailers,
