hierarchy,name,description
woodworking machinery >  sanding & polishing >  long belt sanders, long belt sanders ,
woodworking machinery >  sanding & polishing >  profile grinders, profile grinders ,
woodworking machinery >  sanding & polishing >  wide belt sanders, wide belt sanders ,
woodworking machinery >  saws, saws  ,
woodworking machinery >  saws >  band saws (wood), band saws (wood) ,
woodworking machinery >  saws >  crosscut/mitre saws, crosscut/mitre saws ,
woodworking machinery >  saws >  double mitre saws, double mitre saws ,
woodworking machinery >  saws >  further saws (stationary), further saws (stationary) ,
woodworking machinery >  saws >  multi blade saws, multi blade saws ,
woodworking machinery >  saws >  panel saws, panel saws ,
woodworking machinery >  saws >  panel saws & angular plant  machinery, panel saws & angular plant  machinery ,
woodworking machinery >  saws >  panel saws with lift table, panel saws with lift table ,
woodworking machinery >  saws >  sawmills & forestry technology, sawmills & forestry technology ,
woodworking machinery >  saws >  sliding table saws, sliding table saws ,
woodworking machinery >  surface engineering, surface engineering  ,
woodworking machinery >  surface engineering >  extraction units and tunnel dryers, extraction units and tunnel dryers ,
woodworking machinery >  surface engineering >  further machines & systems, further machines & systems ,
woodworking machinery >  surface engineering >  roller application machines, roller application machines ,
woodworking machinery >  surface engineering >  sheathing machines, sheathing machines ,
woodworking machinery >  surface engineering >  spraying technology and apparatus, spraying technology and apparatus ,
"woodworking machinery >  tools, accessories & spare parts (wood)"," tools, accessories & spare parts (wood)  ",
"woodworking machinery >  tools, accessories & spare parts (wood) >  edge processing aggregates", edge processing aggregates ,
"woodworking machinery >  tools, accessories & spare parts (wood) >  further machine accessories", further machine accessories ,
"woodworking machinery >  tools, accessories & spare parts (wood) >  machine tools (wood)", machine tools (wood) ,
"woodworking machinery >  tools, accessories & spare parts (wood) >  machinery spare parts", machinery spare parts ,
"woodworking machinery >  tools, accessories & spare parts (wood) >  sawing, drilling and milling aggregates (wood)"," sawing, drilling and milling aggregates (wood) ",
woodworking machinery >  veneer technology, veneer technology  ,
woodworking machinery >  veneer technology >  further veneer processing machines, further veneer processing machines ,
woodworking machinery >  veneer technology >  veneer cutting machines, veneer cutting machines ,
woodworking machinery >  veneer technology >  veneer saws, veneer saws ,
woodworking machinery >  veneer technology >  veneer splicing machines, veneer splicing machines ,
woodworking machinery >  wood-based materials, wood-based materials  ,
construction industry & equipment, construction industry & equipment  ,
construction industry & equipment >  attachments (construction), attachments (construction)  ,
construction industry & equipment >  bulldozers & graders, bulldozers & graders  ,
construction industry & equipment >  construction site cranes, construction site cranes  ,
construction industry & equipment >  construction site equipment, construction site equipment  ,
"construction industry & equipment >  construction equipments, tools & special systems"," construction equipments, tools & special systems  ",
construction industry & equipment >  construction vehicles, construction vehicles  ,
construction industry & equipment >  containers, containers  ,
construction industry & equipment >  cranes (construction), cranes (construction)  ,
construction industry & equipment >  drilling equipments & systems, drilling equipments & systems  ,
construction industry & equipment >  dumper trucks, dumper trucks  ,
construction industry & equipment >  excavators, excavators  ,
construction industry & equipment >  formwork and scaffolding, formwork and scaffolding  ,
construction industry & equipment >  loaders, loaders  ,
construction industry & equipment >  power & lighting (construction), power & lighting (construction)  ,
construction industry & equipment >  rollers, rollers  ,
construction industry & equipment >  special machines for road construction & track-laying, special machines for road construction & track-laying  ,
construction industry & equipment >  working platforms / elevators (construction), working platforms / elevators (construction)  ,
operating equipment, operating equipment  ,
operating equipment >  3d printing / additive manufacturing, 3d printing / additive manufacturing  ,
operating equipment >  3d printing / additive manufacturing >  laser beam / electron beam melting, laser beam / electron beam melting ,
operating equipment >  3d printing / additive manufacturing >  laser sintering, laser sintering ,
operating equipment >  compressors, compressors  ,
operating equipment >  compressors >  compressor accessories & spare parts, compressor accessories & spare parts ,
operating equipment >  compressors >  mobile compressors, mobile compressors ,
operating equipment >  compressors >  other compressors, other compressors ,
operating equipment >  compressors >  piston compressors, piston compressors ,
operating equipment >  compressors >  refrigeration & air dryers, refrigeration & air dryers ,
operating equipment >  compressors >  screw compressors, screw compressors ,
operating equipment >  computers & peripherals, computers & peripherals  ,
operating equipment >  computers & peripherals >  other it equipment, other it equipment ,
operating equipment >  computers & peripherals >  printers, printers ,
operating equipment >  cranes (industry), cranes (industry)  ,
operating equipment >  cranes (industry) >  crane accessories, crane accessories ,
operating equipment >  cranes (industry) >  jib cranes, jib cranes ,
operating equipment >  cranes (industry) >  other cranes, other cranes ,
operating equipment >  cranes (industry) >  overhead cranes, overhead cranes ,
operating equipment >  forklifts & pallet trucks, forklifts & pallet trucks  ,
operating equipment >  forklifts & pallet trucks >  diesel forklifts, diesel forklifts ,
operating equipment >  forklifts & pallet trucks >  electric forklifts, electric forklifts ,
operating equipment >  forklifts & pallet trucks >  electric pallet trucks, electric pallet trucks ,
