hierarchy,name,description
agricultural equipment > harvesters,harvesters,
agricultural equipment > agricultural trailers,agricultural trailers,
agricultural equipment > agriculture equipment,agriculture equipment,
agricultural equipment > agriculture equipment > forage headers,forage headers,
agricultural equipment > agriculture equipment > fertiliser spreaders,fertiliser spreaders,
agricultural equipment > agriculture equipment > plough,plough,
agricultural equipment > agriculture equipment > trailed sprayers,trailed sprayers,
agricultural equipment > agriculture equipment > grassland harrows,grassland harrows,
agricultural equipment > agriculture equipment > self loading forage wagon,self loading forage wagon,
agricultural equipment > agriculture equipment > hay equipment,hay equipment,
agricultural equipment > agriculture equipment > balers,balers,
agricultural equipment > mowers,mowers,
agricultural equipment > chippers,chippers,
agricultural equipment > cultivators,cultivators,
agricultural equipment > seeders,seeders,
agricultural equipment > feeders,feeders,
agricultural equipment > square balers,square balers,
agricultural equipment > cutters,cutters,
agricultural equipment > plows,plows,
agricultural equipment > rakes,rakes,
agricultural equipment > mulcher tractors,mulcher tractors,
vehicles,vehicles,
vehicles > commercial vehicles,commercial vehicles,
vehicles > cars,cars,
vehicles > buses,buses,
vehicles > pickup trucks,pickup trucks,
vehicles > vans,vans,
vehicles > utility vehicle,utility vehicle,
vehicles > atv's,atv's,
vehicles > service vehicles,service vehicles,
vehicles > motorcycles,motorcycles,
vehicles > ambulances,ambulances,
vehicles > boats,boats,
vehicles > waste compactors,waste compactors,
