hierarchy,name,description
metal - sheet metal machines > cutting machines - laser,cutting machines - laser ,
metal - sheet metal machines > cutting machines - plasma / gas,cutting machines - plasma / gas ,
metal - sheet metal machines > cutting machines - waterjet,cutting machines - waterjet ,
metal - sheet metal machines > deburring machines,deburring machines ,
metal - sheet metal machines > folding machines,folding machines ,
metal - sheet metal machines > leveling / straightening machines,leveling / straightening machines ,
metal - sheet metal machines > notching machines,notching machines ,
metal - sheet metal machines > others sheetmetal machinery,others sheetmetal machinery ,
metal - sheet metal machines > plate rolling machines,plate rolling machines ,
metal - sheet metal machines > plate rolling machines - 4 rolls,plate rolling machines - 4 rolls ,
metal - sheet metal machines > press brakes,press brakes ,
metal - sheet metal machines > press brakes cnc/nc,press brakes cnc/nc ,
metal - sheet metal machines > profile bending machines,profile bending machines ,
metal - sheet metal machines > punching machines / nibbling machines,punching machines / nibbling machines ,
metal - sheet metal machines > punching machines / nibbling machines with cnc,punching machines / nibbling machines with cnc ,
metal - sheet metal machines > shears - hydraulic guillotines,shears - hydraulic guillotines ,
metal - sheet metal machines > shears - mechanical guillotines,shears - mechanical guillotines ,
metal - sheet metal machines > shears / guillotines cnc,shears / guillotines cnc ,
metal - sheet metal machines > slitting lines / cut to length lines,slitting lines / cut to length lines ,
metal - sheet metal machines > tube bending machines,tube bending machines ,
metal - sheet metal machines > welding machines,welding machines ,
metal - sheet metal machines > welding positioners,welding positioners ,
miscellaneous industrial equipment,miscellaneous industrial equipment ,
miscellaneous industrial equipment > complete units,complete units ,
miscellaneous industrial equipment > compressed-air plants,compressed-air plants ,
miscellaneous industrial equipment > compressors,compressors ,
miscellaneous industrial equipment > conveyors,conveyors ,
miscellaneous industrial equipment > cranes - bridge cranes / hoisters,cranes - bridge cranes / hoisters ,
miscellaneous industrial equipment > cranes - tower cranes - gantry,cranes - tower cranes - gantry ,
miscellaneous industrial equipment > dehydration and filtering,dehydration and filtering ,
miscellaneous industrial equipment > electricity - generator sets,electricity - generator sets ,
miscellaneous industrial equipment > energy,energy ,
miscellaneous industrial equipment > forklifts - diesel forklifts,forklifts - diesel forklifts ,
miscellaneous industrial equipment > forklifts - electric forklifts,forklifts - electric forklifts ,
miscellaneous industrial equipment > forklifts - gas forklifts,forklifts - gas forklifts ,
miscellaneous industrial equipment > glass machinery - cutting - edging,glass machinery - cutting - edging ,
miscellaneous industrial equipment > glass working machines - bevelling,glass working machines - bevelling ,
miscellaneous industrial equipment > glass working machines - insulating,glass working machines - insulating ,
miscellaneous industrial equipment > glass working machines - miscellaneous,glass working machines - miscellaneous ,
miscellaneous industrial equipment > glass working machines - washing - coating - printing,glass working machines - washing - coating - printing ,
miscellaneous industrial equipment > heat / surface treatment,heat / surface treatment ,
miscellaneous industrial equipment > industrial boilers,industrial boilers ,
miscellaneous industrial equipment > industrial ovens,industrial ovens ,
miscellaneous industrial equipment > liquids cooling / chillers,liquids cooling / chillers ,
miscellaneous industrial equipment > measure - lasers,measure - lasers ,
miscellaneous industrial equipment > measure - controls - miscellaneous,measure - controls - miscellaneous ,
miscellaneous industrial equipment > measure - controls - profile projectors,measure - controls - profile projectors ,
miscellaneous industrial equipment > measuring units,measuring units ,
miscellaneous industrial equipment > miscellaneous,miscellaneous ,
miscellaneous industrial equipment > miscellaneous handling - lifting,miscellaneous handling - lifting ,
miscellaneous industrial equipment > pallet racks - storage units - kardex,pallet racks - storage units - kardex ,
