hierarchy,name,description
handling / lifting > forklifts (under 8t) > truck mounted forklift,truck mounted forklift,
handling / lifting > forklifts (under 8t) > reach truck,reach truck,
handling / lifting > forklifts (under 8t) > four way forklift,four way forklift,
handling / lifting > forklifts (under 8t) > tow tractors,tow tractors,
handling / lifting > forklifts (under 8t) > warehouse equipment,warehouse equipment,
handling / lifting > forklifts (under 8t) > forklift  - parts,forklift  - parts,
handling / lifting > forklifts (under 8t) > forklift - other,forklift - other,
handling / lifting > heavy duty forklifts,heavy duty forklifts,
handling / lifting > heavy duty forklifts > heavy duty forklift trucks,heavy duty forklift trucks,
handling / lifting > heavy duty forklifts > container handler,container handler,
handling / lifting > heavy duty forklifts > reach stackers,reach stackers,
handling / lifting > heavy duty forklifts > spare parts,spare parts,
handling / lifting > heavy duty forklifts > heavy duty forklift  - other,heavy duty forklift  - other,
handling / lifting > warehouse truck,warehouse truck,
handling / lifting > warehouse truck > pallet truck,pallet truck,
handling / lifting > warehouse truck > pallet stacker,pallet stacker,
handling / lifting > warehouse truck > reach truck,reach truck,
handling / lifting > warehouse truck > order picker,order picker,
handling / lifting > warehouse truck > four way forklift,four way forklift,
handling / lifting > warehouse truck > spare parts,spare parts,
handling / lifting > warehouse truck > warehouse equipment - other,warehouse equipment - other,
handling / lifting > boom lifts / aerial work platforms,boom lifts / aerial work platforms,
handling / lifting > boom lifts / aerial work platforms > self-propelled boom lifts,self-propelled boom lifts,
handling / lifting > boom lifts / aerial work platforms > trailer-mounted booms,trailer-mounted booms,
handling / lifting > boom lifts / aerial work platforms > truck-mounted boom lifts,truck-mounted boom lifts,
handling / lifting > boom lifts / aerial work platforms > spare parts,spare parts,
handling / lifting > boom lifts / aerial work platforms > boom lifts / aerial work platforms - other,boom lifts / aerial work platforms - other,
handling / lifting > crane,crane,
handling / lifting > crane > timber loader,timber loader,
handling / lifting > crane > mobile crane / boom truck,mobile crane / boom truck,
handling / lifting > crane > tower crane,tower crane,
handling / lifting > crane > self-erecting crane,self-erecting crane,
handling / lifting > crane > crawler crane,crawler crane,
handling / lifting > crane > harbor crane,harbor crane,
handling / lifting > crane > loader crane,loader crane,
handling / lifting > crane > spare parts,spare parts,
handling / lifting > crane > cranes - others,cranes - others,
forestry equipment,forestry equipment,
forestry equipment > skidder,skidder,
forestry equipment > forestry mower,forestry mower,
forestry equipment > forwarder,forwarder,
forestry equipment > unimog,unimog,
forestry equipment > wood chippers  / grinder,wood chippers  / grinder,
forestry equipment > logsplitter,logsplitter,
forestry equipment > dozers,dozers,
forestry equipment > harvester,harvester,
forestry equipment > forestry trailer,forestry trailer,
forestry equipment > forestry tractor,forestry tractor,
forestry equipment > spare parts,spare parts,
forestry equipment > forestry equipment - other,forestry equipment - other,
turf equipment,turf equipment,
turf equipment > garden tractor,garden tractor,
turf equipment > lawn tractor,lawn tractor,
turf equipment > hand mower,hand mower,
turf equipment > brush cutter,brush cutter,
turf equipment > motor mower,motor mower,
