hierarchy,name,description
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > leatherworking repairing machinery and equipment,leatherworking repairing machinery and equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > leatherworking repairing machinery and equipment > leather preparing machinery and accessories,leather preparing machinery and accessories,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > leatherworking repairing machinery and equipment > leather preparing machinery and accessories > leather fleshing machines,leather fleshing machines,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > leatherworking repairing machinery and equipment > leather working and repairing machinery and accessories,leather working and repairing machinery and accessories,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies,industrial process machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > rubber and plastic processing machinery and equipment and supplies,rubber and plastic processing machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > cement and ceramics and glass industry machinery and equipment and supplies,cement and ceramics and glass industry machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > optical industry machinery and equipment and supplies,optical industry machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > pharmaceutical industry machinery and equipment and supplies,pharmaceutical industry machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > pharmaceutical industry machinery and equipment and supplies > chromatography columns,chromatography columns,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > pharmaceutical industry machinery and equipment and supplies > chromatography media,chromatography media,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > paper making and paper processing machinery and equipment and supplies,paper making and paper processing machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > web handling and control machinery and equipment and supplies,web handling and control machinery and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > separation machinery and equipment,separation machinery and equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > manufacturing tables and stands,manufacturing tables and stands,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > packaging machinery,packaging machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > packaging machinery > wrapping machinery,wrapping machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > holding and positioning and guiding systems and devices,holding and positioning and guiding systems and devices,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > industrial machinery components and accessories,industrial machinery components and accessories,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > industrial machinery components and accessories > spray gun,spray gun,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > robotics,robotics,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > assembly machines,assembly machines,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > paint systems,paint systems,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > part marking machines,part marking machines,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > part marking machines > dot marking machine,dot marking machine,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > precision fastening or torque equipment,precision fastening or torque equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial process machinery and equipment and supplies > coating systems,coating systems,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > foundry machines and equipment and supplies,foundry machines and equipment and supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > foundry machines and equipment and supplies > foundry machines and equipment,foundry machines and equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > foundry machines and equipment and supplies > foundry machines and equipment > foundry blowers,foundry blowers,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > foundry machines and equipment and supplies > foundry supplies,foundry supplies,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > foundry machines and equipment and supplies > foundry dies and tooling,foundry dies and tooling,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment,industrial food and beverage equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery,food preparation machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > filling machinery,filling machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > milling machinery,milling machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > crushing machinery,crushing machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > cheese making machine,cheese making machine,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > seed or nut sheller,seed or nut sheller,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food preparation machinery > slaughterhouse or abattoir equipment,slaughterhouse or abattoir equipment,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food cutting machinery,food cutting machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food cutting machinery > dicing machinery,dicing machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > food cooking and smoking machinery,food cooking and smoking machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > industrial food and beverage equipment > industrial beverage processing machinery,industrial beverage processing machinery,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > mixers and their parts and accessories,mixers and their parts and accessories,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > mixers and their parts and accessories > batch mixers,batch mixers,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > mixers and their parts and accessories > batch mixers > change can mixers,change can mixers,
industrial equipment & tools > industrial manufacturing and processing machinery and accessories > mixers and their parts and accessories > continuous mixers,continuous mixers,
